nodex,nodey,offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di,score
0,853,3.097,2.384,2.989,1.298,0.541,0.378,297,396,297,396,396,429,0
0,854,2.969,1.447,2.977,0.897,0.347,0.269,297,165,297,165,396,66,0
0,856,3.32,1.287,3.172,0.711,0.283,0.217,297,66,297,66,396,33,0
0,857,3.11,1.175,3.042,0.677,0.267,0.205,297,33,297,33,396,0,0
0,858,3.212,2.46,3.388,1.431,0.585,0.436,297,462,297,462,396,396,0
0,859,3.195,1.463,3.256,0.734,0.329,0.228,297,66,297,66,396,99,0
0,860,3.023,1.33,3.11,0.721,0.294,0.216,297,66,297,66,396,66,0
0,862,3.085,1.805,3.233,0.961,0.393,0.293,297,165,297,165,396,231,0
0,863,3.09,1.693,3.041,1.069,0.409,0.281,297,264,297,264,396,165,0
0,864,3.06,3.036,3.035,1.547,0.673,0.465,297,528,297,528,396,660,0
0,865,3.117,1.755,3.002,0.756,0.354,0.271,297,66,297,66,396,231,0
0,866,3.136,1.203,2.99,0.725,0.283,0.217,297,66,297,66,396,0,0
0,868,3.091,1.616,2.967,0.847,0.36,0.26,297,132,297,132,396,165,0
0,869,3.102,2.25,3.168,1.396,0.55,0.352,297,429,297,429,396,363,0
0,870,3.416,2.157,3.104,1.121,0.474,0.347,297,297,297,297,396,330,0
0,872,3.015,1.875,3.017,0.826,0.399,0.292,297,132,297,132,396,264,0
0,873,3.111,1.25,2.985,0.68,0.269,0.219,297,33,297,33,396,33,0
0,874,3.383,2.691,3.332,1.49,0.611,0.433,297,495,297,495,396,528,0
0,876,3.007,1.614,3.056,1.016,0.383,0.293,297,231,297,231,396,132,0
0,877,3.133,2.971,3.122,1.655,0.686,0.465,297,594,297,594,396,627,0
0,882,3.112,1.746,3.007,0.945,0.388,0.303,297,198,297,198,396,198,0
0,883,3.234,1.295,3.101,0.773,0.294,0.238,297,99,297,99,396,33,0
0,884,3.058,1.265,3.024,0.708,0.284,0.216,297,66,297,66,396,33,0
0,886,3.113,1.248,3.222,0.65,0.27,0.216,297,33,297,33,396,33,0
0,887,3.107,2.024,3.076,1.181,0.471,0.323,297,330,297,330,396,297,0
0,890,3.049,3.73,3.055,1.834,0.827,0.588,297,693,297,693,396,891,0
0,891,3.244,1.302,3.149,0.768,0.313,0.227,297,99,297,99,396,33,0
0,892,3.024,4.548,3.285,2.266,1.012,0.697,297,924,297,924,396,1188,0
0,894,3.03,3.084,3.001,1.265,0.631,0.47,297,330,297,330,396,693,0
0,895,3.329,1.632,3.315,0.887,0.376,0.26,297,165,297,165,396,165,0
0,896,3.159,1.569,3.045,0.774,0.346,0.27,297,99,297,99,396,132,0
0,897,2.996,1.31,3.206,0.651,0.273,0.216,297,33,297,33,396,33,0
0,898,3.027,1.559,3.055,0.833,0.344,0.26,297,132,297,132,396,132,0
0,900,3.151,1.378,3.033,0.808,0.309,0.248,297,99,297,99,396,66,0
0,902,3.016,2.355,3.085,1.409,0.537,0.401,297,396,297,396,396,396,0
0,903,3.329,1.646,3.276,0.885,0.378,0.26,297,165,297,165,396,165,0
0,904,3.014,1.238,3.166,0.584,0.258,0.213,297,0,297,0,396,33,0
0,905,3.167,4.098,2.99,2.411,0.993,0.692,297,1023,297,1023,396,957,0
0,906,3.152,1.263,3.024,0.65,0.276,0.216,297,33,297,33,396,33,0
0,907,3.042,2.104,3.156,0.943,0.447,0.316,297,198,297,198,396,330,0
0,908,3.017,1.517,3.123,0.779,0.331,0.249,297,99,297,99,396,132,0
0,909,3.076,4.695,3.08,2.566,1.092,0.671,297,1089,297,1089,396,1254,0
0,911,3.128,1.643,3.114,1.061,0.386,0.315,297,264,297,264,396,132,0
0,913,3.046,2.036,3.009,1.3,0.483,0.38,297,396,297,396,396,264,0
0,914,3.046,3.151,3.066,1.821,0.731,0.489,297,693,297,693,396,660,0
0,915,3.256,1.99,3.057,1.002,0.433,0.324,297,231,297,231,396,297,0
0,916,3.038,1.441,3.065,0.77,0.325,0.238,297,99,297,99,396,99,0
0,917,3.065,2.055,2.99,1.178,0.468,0.356,297,330,297,330,396,297,0
0,918,2.995,1.276,3.116,0.722,0.297,0.217,297,66,297,66,396,33,0
0,919,3.028,1.169,3.06,0.67,0.258,0.205,297,33,297,33,396,0,0
0,921,3.083,1.654,3.036,0.952,0.377,0.281,297,198,297,198,396,165,0
0,922,3.057,1.572,3.114,0.831,0.361,0.266,297,132,297,132,396,132,0
0,923,3.048,1.706,3.076,0.771,0.368,0.26,297,99,297,99,396,198,0
0,924,3.198,1.333,3.098,0.663,0.289,0.223,297,33,297,33,396,66,0
0,925,3.063,4.433,3.106,2.933,1.084,0.779,297,1287,297,1287,396,1023,0
0,926,3.055,1.216,3.18,0.648,0.289,0.213,297,33,297,33,396,0,0
0,927,3.072,1.252,3.097,0.652,0.284,0.206,297,33,297,33,396,33,0
0,928,3.147,1.199,3.097,0.725,0.272,0.217,297,66,297,66,396,0,0
0,929,3.168,1.262,3.181,0.711,0.283,0.216,297,66,297,66,396,33,0
0,930,3,1.371,2.991,0.586,0.29,0.24,297,0,297,0,396,66,0
0,931,3.045,2.438,3.052,1.492,0.578,0.395,297,495,297,495,396,429,0
0,932,3.061,2.422,3.042,1.288,0.536,0.39,297,363,297,363,396,429,0
0,933,3.011,2.142,3.068,1.242,0.494,0.357,297,363,297,363,396,330,0
0,935,3.095,1.229,3.288,0.582,0.257,0.21,297,0,297,0,396,33,0
0,936,3.142,1.238,3.109,0.659,0.27,0.206,297,33,297,33,396,33,0
0,938,3.248,1.332,3.189,0.711,0.295,0.216,297,66,297,66,396,66,0
0,940,3.066,1.26,3.118,0.709,0.282,0.216,297,66,297,66,396,33,0
0,941,3.056,1.794,3.056,0.945,0.398,0.28,297,198,297,198,396,231,0
0,942,3.203,4.362,3.011,2.526,1.034,0.715,297,1089,297,1089,396,1056,0
0,943,3.201,1.496,3.085,0.828,0.378,0.239,297,132,297,132,396,99,0
0,944,3.064,1.349,3.009,0.759,0.293,0.219,297,66,297,66,396,66,0
0,945,3.128,1.225,3.169,0.579,0.257,0.206,297,0,297,0,396,33,0
0,947,3.094,1.416,3.056,0.936,0.334,0.258,297,165,297,165,396,66,0
