offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di
0.292,2.64,0.285,2.019,0.684,0.395,396,165,396,165,330,132
0.285,2.476,0.284,1.777,0.638,0.367,396,99,396,99,330,99
0.288,2.123,0.313,1.579,0.548,0.328,396,33,396,33,330,33
0.511,2.587,0.303,1.935,0.774,0.359,396,132,396,132,330,99
0.81,2.066,0.434,2.043,0.483,0.269,396,132,396,132,330,66
0.355,2.248,0.284,2.043,0.611,0.32,396,66,396,66,330,33
0.338,3.726,0.295,1.975,0.658,0.293,396,165,396,165,330,198
0.354,3.111,0.323,2.266,0.784,0.52,396,198,396,198,330,198
0.311,2.469,0.307,1.803,0.65,0.337,396,99,396,99,330,99
0.296,3.51,0.289,1.754,0.693,0.61,396,99,396,99,330,198
0.386,3.095,0.462,2.007,0.769,0.416,396,132,396,132,330,231
0.299,2.206,0.288,1.755,0.589,0.341,396,99,396,99,330,33
0.293,2.281,0.308,1.546,0.566,0.321,396,33,396,33,330,66
0.415,1.982,0.283,1.667,0.513,0.298,396,33,396,33,330,0
0.291,2.607,0.283,2.123,0.697,0.424,396,198,396,198,330,99
0.287,2.559,0.379,1.657,0.622,0.391,396,66,396,66,330,132
0.297,3.13,0.327,1.877,0.737,0.419,396,132,396,132,330,231
0.312,2.592,0.291,1.863,0.67,0.374,396,132,396,132,330,132
0.373,2.376,0.384,2.05,0.626,0.399,396,132,396,132,330,66
0.326,3.047,0.293,2.09,0.758,0.42,396,198,396,198,330,198
0.296,2.621,0.306,1.977,0.698,0.374,396,165,396,165,330,132
0.286,2.421,0.356,2.678,0.626,0.335,396,99,396,99,330,99
0.294,2.695,0.284,2.017,0.695,0.375,396,165,396,165,330,132
0.288,2.29,0.289,1.755,0.605,0.355,396,99,396,99,330,66
0.285,2.452,0.286,1.915,0.648,0.354,396,132,396,132,330,99
0.29,2.959,0.305,2.081,0.751,0.434,396,198,396,198,330,198
0.282,2.548,0.284,1.761,0.648,0.355,396,99,396,99,330,132
0.279,2.43,0.28,1.647,0.587,0.316,396,66,396,66,330,66
0.289,2.227,0.283,1.647,0.583,0.316,396,66,396,66,330,66
0.277,2.248,0.3,1.581,0.568,0.335,396,33,396,33,330,66
0.295,3.193,0.293,1.972,0.778,0.436,396,165,396,165,330,264
0.477,2.053,0.28,1.55,0.534,0.295,396,33,396,33,330,33
0.283,2.312,0.302,1.755,0.598,0.335,396,99,396,99,330,66
0.295,3.418,0.295,2.414,0.922,0.516,396,297,396,297,330,264
0.295,2.243,0.284,1.776,0.589,0.316,396,66,396,66,330,66
0.283,1.905,0.288,1.526,0.509,0.296,396,33,396,33,330,0
0.295,2.061,0.281,1.588,0.536,0.295,396,33,396,33,330,33
0.294,2.56,0.291,1.972,0.706,0.417,396,165,396,165,330,99
0.336,2.452,0.311,1.977,0.647,0.356,396,132,396,132,330,99
0.289,2.335,0.281,1.921,0.627,0.354,396,132,396,132,330,66
0.296,2.953,0.3,2.531,0.466,1.311,396,132,396,132,330,66
0.419,2.297,0.285,1.548,0.568,0.317,396,33,396,33,330,66
0.295,2.289,0.283,1.772,0.668,0.287,396,99,396,99,330,66
0.374,3.736,0.385,2.704,0.568,0.399,396,165,396,165,330,231
0.509,2.524,0.305,1.765,0.634,0.354,396,99,396,99,330,99
0.293,3.873,0.29,1.77,0.477,0.374,396,99,396,99,330,66
0.324,2.312,0.291,1.649,0.627,0.246,396,66,396,66,330,99
0.375,2.145,0.594,1.58,0.536,0.299,396,33,396,33,330,33
0.294,2.104,0.344,1.55,0.573,0.296,396,33,396,33,330,33
0.312,2.648,0.284,1.751,0.65,0.376,396,99,396,99,330,132
0.305,2.213,0.282,1.647,0.66,0.316,396,66,396,66,330,33
0.283,2.078,0.281,1.658,0.542,0.295,396,33,396,33,330,33
